"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"54",4,1,0,1,0,27,1,0,15.635498046875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55",4,0,0,1,0,36,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"56",3,1,1,0,0,29,0,1,14.4166355133057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",10,1,1,1,0,29,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"58",8,1,1,1,0,23,0,0,14.1289539337158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"59",8,1,0,1,0,41,1,0,15.4531764984131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60",3,0,0,1,0,51,1,0,14.53688621521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61",3,0,0,0,0,29,0,0,14.4166355133057,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"62",4,1,0,1,0,51,0,0,13.7192974090576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"63",4,1,0,0,0,22,1,0,15.1246728897095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"64",5,1,0,1,0,50,0,0,13.3180236816406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"65",6,0,0,1,0,51,1,0,14.1802110671997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"66",10,0,0,0,0,47,0,1,14.0309734344482,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",4,1,0,1,0,55,0,0,15.3974647521973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68",6,1,0,1,0,35,1,0,14.7192077636719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"69",4,0,0,1,0,27,1,0,14.9423503875732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"70",5,0,0,1,0,38,1,0,14.0726194381714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"71",7,0,0,1,0,37,1,0,11.5411539077759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"72",3,1,0,1,0,25,0,0,15.515248298645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",3,1,0,1,0,40,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"74",3,0,0,1,0,50,0,0,15.1097831726074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"75",6,1,1,0,0,25,1,0,14.31374168396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"76",6,1,0,1,0,59,1,0,15.2300329208374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77",4,1,0,1,0,39,0,0,15.3329267501831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"78",3,0,0,0,0,40,1,0,14.9423503875732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"79",3,1,0,0,0,47,1,0,15.635498046875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"80",4,1,0,0,0,41,0,0,15.6206083297729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"81",4,0,0,1,0,55,0,1,13.7234888076782,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",6,0,0,0,0,35,0,0,14.4166355133057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"83",4,1,1,1,0,38,1,0,14.0726194381714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"84",3,0,0,1,0,44,1,0,15.2300329208374,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"85",5,1,0,1,0,35,1,0,14.7192077636719,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"86",3,1,0,1,0,33,1,0,14.53688621521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"87",5,1,0,1,0,53,0,0,15.6206083297729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"88",8,0,0,1,0,39,1,0,15.1246728897095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"89",5,1,0,0,0,44,1,0,15.2300329208374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"90",8,0,0,1,0,35,0,0,14.1627111434937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"91",4,1,1,1,0,27,1,0,15.635498046875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"92",3,0,0,1,0,51,1,0,13.6212024688721,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"93",2,1,1,1,0,42,1,0,14.0726194381714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"94",5,1,0,0,0,30,0,0,13.7234888076782,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"95",4,0,0,1,0,39,1,0,13.3329133987427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"96",4,0,0,1,0,35,0,0,15.6206083297729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97",3,1,0,1,0,25,0,0,15.6206083297729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"98",10,1,1,0,0,24,0,1,14.1289539337158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",8,0,0,1,0,52,1,0,15.635498046875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100",4,0,1,1,0,52,0,0,15.3329267501831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"101",3,0,0,1,0,54,0,1,13.9265966415405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",6,1,0,0,0,27,0,0,13.704779624939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"103",6,1,0,1,0,51,0,0,14.2343139648438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"104",2,0,0,1,0,26,0,0,14.465425491333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"105",5,1,0,1,0,38,0,1,14.8221006393433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2,1,0,1,0,30,0,0,14.9274616241455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"107",4,0,0,0,0,33,0,0,14.0309734344482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"108",5,1,0,0,0,47,0,1,14.2343139648438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",5,0,0,1,0,25,0,0,14.4166355133057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"110",5,1,1,0,0,30,1,0,15.635498046875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111",4,1,0,0,0,37,1,0,15.4531764984131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"112",6,1,1,1,0,33,0,0,14.0111703872681,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"113",5,1,0,1,0,47,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"114",4,0,0,0,0,27,1,0,14.53688621521,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"115",6,0,1,1,0,25,1,1,14.53688621521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",3,0,0,1,0,48,0,0,14.1627111434937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"117",8,1,1,0,0,30,1,0,14.9423503875732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"118",4,0,0,1,0,28,1,0,13.7383785247803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"119",5,1,0,1,0,30,0,1,13.6428775787354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",5,1,0,1,0,49,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"121",8,0,0,1,0,37,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",8,1,1,1,0,29,1,0,15.4531764984131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"123",8,0,0,1,0,32,1,0,15.635498046875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124",6,1,0,1,0,30,0,0,15.4580898284912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"125",5,1,0,1,0,27,1,0,14.9423503875732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"126",4,0,0,0,0,32,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"127",7,1,0,1,0,24,0,0,13.7234888076782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"128",1,1,1,1,0,34,0,1,15.3329267501831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",3,1,0,0,0,32,1,0,15.635498046875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"130",6,1,0,1,0,34,0,1,15.6206083297729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",3,1,0,0,0,23,1,1,14.0260601043701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",8,1,0,0,0,30,0,0,14.0018892288208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",4,1,0,1,0,52,1,0,14.6321964263916,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"134",4,1,0,1,0,55,1,0,14.0726194381714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"135",4,0,0,1,0,21,1,0,14.7192077636719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"136",8,1,1,0,0,23,0,0,14.0111703872681,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"137",3,1,0,0,0,40,1,1,14.0143976211548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",4,1,0,0,0,33,0,0,14.4811744689941,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"139",1,0,0,0,0,29,0,0,14.0111703872681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"140",13,0,0,0,0,59,1,1,14.31374168396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2,0,0,1,0,37,0,0,14.4166355133057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"142",3,1,0,0,0,35,0,0,15.6206083297729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"143",6,1,0,0,0,42,1,0,14.4315252304077,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"144",8,0,0,1,0,58,0,0,13.3180236816406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"145",6,1,0,1,0,44,1,0,15.0068893432617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"146",8,1,1,1,0,24,1,0,14.0726194381714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"147",4,1,0,1,0,35,1,1,15.325343132019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",6,1,0,1,0,26,1,0,15.1246728897095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"149",5,1,0,0,0,40,0,0,13.7192974090576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
