"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"53",3,1,0,0,1,52,1,1,13.9150762557983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",7,1,0,1,0,40,0,0,13.8165454864502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"55",4,0,0,1,0,30,0,0,14.7053823471069,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"56",5,0,0,1,0,35,0,0,13.5814523696899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"57",6,1,1,1,0,21,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"58",5,1,0,0,1,45,1,1,13.835033416748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",4,1,0,0,0,38,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"60",4,0,0,1,0,50,1,1,14.6272144317627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",6,0,0,0,0,35,0,1,12.8082628250122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",4,1,0,0,0,30,0,0,14.7053823471069,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"63",6,0,0,0,0,23,1,1,15.2213277816772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",4,0,0,0,0,35,1,1,12.2255954742432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",14,1,0,0,1,39,0,0,13.829909324646,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"66",5,1,1,0,1,37,0,0,10.8342618942261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"67",4,0,0,1,0,48,1,0,14.8823518753052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68",6,1,0,1,0,44,1,0,14.6311893463135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69",5,1,0,0,0,33,0,0,15.0418548583984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70",6,0,0,0,0,28,1,1,14.5243825912476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",4,0,0,0,0,38,0,1,13.5014095306396,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",5,1,1,0,0,35,1,0,15.2213277816772,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"73",3,1,0,1,0,26,1,0,15.2213277816772,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"74",7,0,1,0,1,25,1,1,12.9187421798706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",5,0,0,1,1,57,0,0,13.6067752838135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"76",6,1,0,1,1,35,1,0,13.4295682907104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"77",7,1,1,1,0,46,1,0,14.6311893463135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"78",4,0,0,1,0,29,1,1,14.5281801223755,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",4,0,0,0,0,33,0,0,13.8165454864502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"80",5,1,0,0,1,35,0,0,12.2204961776733,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"81",4,1,0,1,1,40,1,0,14.2404985427856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"82",3,0,0,0,0,34,1,0,14.9336452484131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"83",5,1,0,1,0,30,1,0,14.9336452484131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"84",5,1,0,0,0,50,0,0,13.8165454864502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"85",4,1,0,1,0,39,0,0,13.4823341369629,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"86",5,1,0,0,0,42,0,0,15.3985300064087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"87",5,1,0,0,1,55,1,1,13.630274772644,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2,0,0,1,0,32,0,0,14.4177007675171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"89",1,0,1,0,0,40,0,0,14.0122356414795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"90",4,0,0,0,1,32,1,1,12.8674488067627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",5,0,0,1,0,45,1,0,15.2213277816772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"92",7,1,0,1,0,23,0,0,14.7053823471069,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"93",7,1,0,1,0,53,0,1,14.0122356414795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",4,1,0,1,0,38,0,0,14.9285259246826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"95",6,0,0,0,0,51,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"96",4,1,0,0,0,39,0,1,14.4177007675171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",11,0,0,0,1,43,0,0,14.1519975662231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"98",3,0,1,0,1,32,1,0,14.2242317199707,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"99",4,1,0,0,1,46,0,0,12.6259412765503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"100",1,0,0,0,1,42,1,0,13.719783782959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"101",3,1,0,0,1,31,0,0,15.3985300064087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"102",5,1,0,0,1,26,1,1,14.5281801223755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",5,1,0,1,0,49,1,0,14.9336452484131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"104",1,1,1,1,0,44,1,0,13.835033416748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105",6,0,0,0,1,41,1,1,10.9193439483643,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",8,0,0,0,0,35,1,1,14.5281801223755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",5,1,0,1,0,43,1,0,14.8095932006836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"108",5,1,0,0,0,51,0,0,14.9285259246826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"109",12,1,0,1,1,40,1,0,14.4228200912476,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"110",7,0,0,1,0,36,1,0,13.835033416748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"111",5,1,0,0,1,35,0,0,11.4760770797729,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"112",5,1,0,0,1,47,1,0,14.9336452484131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"113",6,1,0,1,0,28,0,0,13.7890920639038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"114",4,0,0,1,0,54,0,0,15.0418548583984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"115",3,0,0,1,0,35,1,0,15.2213277816772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"116",4,1,0,0,1,55,1,0,13.2960367202759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"117",6,1,0,1,0,46,1,0,14.5281801223755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"118",6,1,1,0,1,22,0,1,12.6259412765503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
