"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"54",7,0,0,0,1,37,1,0,13.8437385559082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"55",3,1,0,0,1,59,1,0,14.3548974990845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56",10,1,0,0,1,39,1,1,14.53688621521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",6,0,0,0,1,43,1,1,14.3341569900513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",5,0,0,1,1,45,0,0,14.2139196395874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"59",4,1,0,0,1,50,0,1,13.5927200317383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",3,0,0,1,1,27,1,0,14.0260601043701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"61",3,0,0,0,1,22,0,0,14.5219964981079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62",5,0,0,0,1,42,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"63",3,1,0,0,1,28,0,1,11.2385816574097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",6,1,1,1,1,24,1,0,14.6910362243652,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"65",3,1,1,0,1,36,0,0,14.2343139648438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"66",8,1,1,0,1,54,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"67",2,0,0,0,1,30,0,0,14.9274616241455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",10,0,0,0,1,35,1,0,12.2343006134033,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"69",4,0,0,0,1,46,1,0,13.1505918502808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"70",14,1,0,0,1,37,1,0,13.4382734298706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"71",4,1,0,0,1,33,1,0,13.556056022644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"72",6,1,0,0,1,43,0,0,14.0595502853394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"73",7,0,1,0,1,22,0,1,12.5558834075928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",4,1,0,0,1,24,1,0,13.8437385559082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"75",2,1,1,0,1,27,0,0,14.0519924163818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"76",5,1,1,0,1,30,1,0,14.5696754455566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77",3,1,0,0,1,25,1,0,15.4123544692993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"78",10,1,1,0,1,36,0,0,13.8288488388062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"79",5,0,0,1,1,42,1,0,13.1505918502808,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"80",3,1,0,0,1,32,1,1,14.53688621521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",3,1,0,1,1,51,1,0,15.0477113723755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"82",5,0,1,0,1,21,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"83",3,0,0,0,1,40,1,1,13.1505918502808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",3,1,1,0,1,47,0,0,14.9682836532593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"85",8,0,0,0,1,45,1,0,14.3545637130737,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"86",4,1,0,1,1,30,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"87",3,1,1,1,1,52,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"88",6,0,0,0,1,50,1,0,12.7451257705688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"89",2,1,0,1,1,50,0,0,14.9274616241455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"90",6,1,0,1,1,50,1,0,13.6614170074463,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"91",9,0,0,0,1,30,0,0,12.2379875183105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",4,1,0,0,1,43,0,1,14.5707864761353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",7,0,0,1,1,35,0,0,10.8331165313721,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"94",2,1,0,0,1,42,1,0,12.7678661346436,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"95",5,1,0,0,1,37,1,0,15.4123544692993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96",4,1,0,0,1,22,1,0,14.53688621521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"97",3,0,0,0,1,30,1,0,13.8437385559082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"98",6,1,0,0,1,55,1,0,14.53688621521,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"99",1,0,0,1,1,54,0,0,12.7790269851685,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"100",4,0,1,0,1,40,1,1,13.4382734298706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",5,0,0,0,1,33,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"102",2,1,0,1,1,44,0,0,14.0519924163818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"103",6,1,1,0,1,27,0,1,12.442554473877,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",8,1,0,0,1,28,1,0,14.3545637130737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"105",8,1,0,0,1,52,0,0,12.6248760223389,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"106",3,0,0,0,1,55,1,1,13.3329133987427,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",3,0,0,0,1,48,0,0,14.0595502853394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"108",3,1,0,1,1,43,1,1,14.53688621521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",10,0,1,1,1,29,1,0,14.3798246383667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
